"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
nuc_acid_nano_concent,bacterial_wgs_metadata,,text,"Nanodrop concentration:",,,number,,,,,,,,,,
nuc_acid_qbit_concent,bacterial_wgs_metadata,,text,"Qubit concentration:",,,number,,,,,,,,,,
nuc_acid_desc_tube1,bacterial_wgs_metadata,,descriptive,"<p class=""yellow""><b><font color = ""black"">Nucleic Acid Working Sample</p></b></font>",,"<b><i>Note: μg/mL</b></i>",,,,,,,,,,,
nuc_acid_tubeid1,bacterial_wgs_metadata,,text,"Tube 1 ID(s):",,,,,,,,,,,,,
nuc_acid_barcode_tube1,bacterial_wgs_metadata,,text,"Tube 1 barcode:",,,,,,,,,,,,,
nuc_acid_freezer_loc1,bacterial_wgs_metadata,,radio,"Tube 1 freezer location:","1, Peanut | 2, Butter | 3, Jelly, | 4, Back-up | 5, Other (please specify)",,,,,,,,,,,,
nuc_acid_freeze_oth1,bacterial_wgs_metadata,,text,"Please specify:",,,,,,,"[nuc_acid_freezer_loc1] = '5'",,,,,,
nuc_acid_freezer_rack1,bacterial_wgs_metadata,,text,"Tube 1 rack:",,,,,,,,,,,,,
nuc_acid_freezer_box1,bacterial_wgs_metadata,,text,"Tube 1 box:",,,,,,,,,,,,,
nuc_acid_freezer_slot1,bacterial_wgs_metadata,,text,"Tube 1 slot:",,,,,,,,,,,,,
nuc_acid_desc_tube2,bacterial_wgs_metadata,,descriptive,"<p class=""yellow""><b><font color = ""black"">Nucleic Acid Back-Up Sample</p></b></font>",,"<b><i>Note: μg/mL</b></i>",,,,,,,,,,,
nuc_acid_tubeid2,bacterial_wgs_metadata,,text,"Tube 2 ID(s):",,,,,,,,,,,,,
nuc_acid_barcode_tube2,bacterial_wgs_metadata,,text,"Tube 2 barcode:",,,,,,,,,,,,,
nuc_acid_freezer_loc2,bacterial_wgs_metadata,,radio,"Tube 2 freezer location:","1, Peanut | 2, Butter | 3, Jelly, | 4, Back-up | 5, Other (please specify)",,,,,,,,,,,,
nuc_acid_freeze_oth2,bacterial_wgs_metadata,,text,"Please specify:",,,,,,,"[nuc_acid_freezer_loc2] = '5'",,,,,,
nuc_acid_freezer_rack2,bacterial_wgs_metadata,,text,"Tube 2 rack:",,,,,,,,,,,,,
nuc_acid_freezer_box2,bacterial_wgs_metadata,,text,"Tube 2 box:",,,,,,,,,,,,,
nuc_acid_freezer_slot2,bacterial_wgs_metadata,,text,"Tube 2 slot:",,,,,,,,,,,,,
lib_prep_dt,bacterial_wgs_metadata,"Library Prep Data",text,"Library prep date:",,,date_ymd,,,,,,,,,,
lib_prep_kit,bacterial_wgs_metadata,,dropdown,"Library prep kit:","1, Nextera XT | 2, Nextera Flex | 3, Other",,,,,,,,,,,,
lib_prep_lotnum,bacterial_wgs_metadata,,text,"Library prep kit lot #:",,,,,,,,,,,,,
lib_ampure_bead_lotnum,bacterial_wgs_metadata,,text,"Ampure bead lot #:",,,,,,,,,,,,,
lib_index_primer_lotnum,bacterial_wgs_metadata,,text,"Index primer lot #:",,,,,,,,,,,,,
lib_index_primer_id,bacterial_wgs_metadata,,text,"Index primer IDs:",,,,,,,,,,,,,
lib_qbit_concent,bacterial_wgs_metadata,,text,"Library Qubit concentration: ",,,,,,,,,,,,,
lib_bioanalyze_frag_size,bacterial_wgs_metadata,,text,"Library Bioanalyzer fragment size:",,,,,,,,,,,,,
lib_bioanalyze_file,bacterial_wgs_metadata,,file,"Bioanalyzer output file:",,,,,,,,,,,,,
lib_plate_name,bacterial_wgs_metadata,,text,"Library plate name:",,,,,,,,,,,,,
lib_plate_position,bacterial_wgs_metadata,,text,"Library plate position:",,"<b><i>Note: Row A-H; Col 1-12</b></i>",,,,,,,,,,,
lib_pool_tubeid,bacterial_wgs_metadata,,text,"Library pool tube ID:",,,,,,,,,,,,,
seq_dt,bacterial_wgs_metadata,"Sequencing Data",text,"Sequencing Date:",,,date_ymd,,,,,,,,,,
seq_library_id,bacterial_wgs_metadata,,text,"Library ID:
(from sample sheet provided to NUSeq)",,,,,,,,,,,,,
fastq_seq_filename,bacterial_wgs_metadata,,text,"Fastq sequence file names:",,,,,,,,,,,,,
mutant_prep_dt,bacterial_wgs_metadata,"Tn-Seq Data",text,"Mutant pool preparation date:",,,date_ymd,,,,,,,,,,
transposon_vector,bacterial_wgs_metadata,,text,"Transposon vector:",,,,,,,,,,,,,
pool_freeze_loc,bacterial_wgs_metadata,,text,"Pool freezer location:",,,,,,,,,,,,,
mutant_number,bacterial_wgs_metadata,,text,"Expected pool insertion mutant number: ",,,,,,,,,,,,,
tn_seq_note,bacterial_wgs_metadata,,notes,"Other information:",,,,,,,,,LV,,,,
source_pl_photo,bacterial_wgs_metadata,"Cloud of Diversity Data",file,"Source plate photo:",,,,,,,,,,,,,
culture_tube_id,bacterial_wgs_metadata,,text,"Culture tube ID:",,,,,,,,,,,,,
culture_tube_freeze_loc,bacterial_wgs_metadata,,radio,"Culture tube freezer location:","1, Peanut | 2, Butter | 3, Jelly | 4, Back-up | 5, Other (please specify)",,,,,,,,,,,,
culture_tube_freeze_oth,bacterial_wgs_metadata,,text,"Please specify (other freezer):",,,,,,,"[culture_tube_freeze_loc] = '5'",,,,,,
total_dna_tube_id,bacterial_wgs_metadata,,text,"Total DNA tube ID:",,,,,,,,,,,,,
total_dna_freeze_loc,bacterial_wgs_metadata,,text,"Total DNA tube freezer location:",,,,,,,,,,,,,
cloud_div_note,bacterial_wgs_metadata,,notes,"Other information:",,,,,,,,,LV,,,,
new_antibiotic,antibiotic,,yesno,"Add new antibiotic:",,,,,,,,,,,,,
antibiotic,antibiotic,,dropdown,Antibiotic:,"1, Amikacin | 2, Ampicillin | 3, Ampicillin-sulbactam | 4, Aztreonam | 5, Cefazolin | 6, Cefepime | 7, Ceftazidime | 8, Ceftazidime-avibactam | 9, Ceftolozane-tazobactam | 10, Ceftriaxone | 11, Ciprofloxacin | 12, Colistin | 13, Ertapenem | 14, Gentamicin | 15, Imipenem | 16, Levofloxacin | 17, Meropenem | 18, Meropenem-vaborbactam | 19, Minocycline | 20, Nitrofurantoin | 21, Piperacillin-tazobactam | 22, Polymyxin B | 23, Tobramycin | 24, Trimethoprim-sulfamethoxazole | 25, Other (please specify)",,,,,,"[new_antibiotic] = '1'",,,,,,
antibiotic_other,antibiotic,,text,"Please specify (antibiotic):",,,,,,,"[antibiotic] = '25'",,,,,,
method,antibiotic,,dropdown,Method:,"1, Agar dilution | 2, E-test | 3, Kirby Bauer | 4, Microbroth dilution | 5, Vitek | 6, Other (please specify)",,,,,,"[new_antibiotic] = '1'",,,,,,
method_other,antibiotic,,text,"Please specify (method):",,,,,,,"[method] = '6'",,,,,,
result,antibiotic,,text,Result:,,"<b><i>Note: Results should be µg/mL or S/I/R for Kirby Bauer</b></i>",,,,,"[new_antibiotic] = '1'",,,,,,
remove_antibiotic,antibiotic," ",radio,"<font color='red'>Remove this antibiotic?</font>","1, Yes",,,,,,,,,,,,
fastqc_read_ct,pipeline_generated_data,"FastQC Metrics (pull from fastqc_data.txt file)
",text,"Read count:",,,,,,,,,,,,,
fastqc_seq_poorquality,pipeline_generated_data,,yesno,"Sequence flagged as poor quality:",,,,,,,,,,,,,
fastqc_base_seq_quality,pipeline_generated_data,,radio,"Per base sequence quality:","1, Pass | 2, Warn | 3, Fail",,,,,,,,,,,,
fastqc_tile_seq_quality,pipeline_generated_data,,radio,"Per tile sequence quality:","1, Pass | 2, Warn | 3, Fail",,,,,,,,,,,,
fastqc_seq_quality_score,pipeline_generated_data,,radio,"Per sequence quality scores:","1, Pass | 2, Warn | 3, Fail",,,,,,,,,,,,
fastqc_base_seq_content,pipeline_generated_data,,radio,"Per base sequence content:","1, Pass | 2, Warn | 3, Fail",,,,,,,,,,,,
fastqc_seq_gc_content,pipeline_generated_data,,radio,"Per sequence GC content:","1, Pass | 2, Warn | 3, Fail",,,,,,,,,,,,
fastqc_base_n_content,pipeline_generated_data,,radio,"Per base N content:","1, Pass | 2, Warn | 3, Fail",,,,,,,,,,,,
fastqc_seq_dupe_levels,pipeline_generated_data,,radio,"Sequence duplication levels:","1, Pass | 2, Warn | 3, Fail",,,,,,,,,,,,
tastqc_overrep_seq,pipeline_generated_data,,radio,"Overrepresented sequences:","1, Pass | 2, Warn | 3, Fail",,,,,,,,,,,,
kraken_id,pipeline_generated_data,"Kraken Species ID",text,"Kraken species ID:",,,,,,,,,,,,,
trimm_input_rd_pair,pipeline_generated_data,"Trimmomatic Metrics",text,"Input Read Pairs:",,,,,,,,,,,,,
trimm_both_survive,pipeline_generated_data,,text,"Both Surviving:",,,,,,,,,,,,,
trimm_forward_survive,pipeline_generated_data,,text,"Forward Only Surviving:",,,,,,,,,,,,,
trimm_reverse_survive,pipeline_generated_data,,text,"Reverse Only Surviving:",,,,,,,,,,,,,
trimm_dropped,pipeline_generated_data,,text,Dropped:,,,,,,,,,,,,,
am_contig_num,pipeline_generated_data,"Assembly Metrics (after quality filtering)",text,"Contig number:",,,number,,,,,,,,,,
am_assembly_size,pipeline_generated_data,,text,"Assembly size:",,,,,,,,,,,,,
am_ave_contig_size,pipeline_generated_data,,text,"Average contig size:",,,,,,,,,,,,,
am_n50_contig_size,pipeline_generated_data,,text,"N50 contig size:",,,,,,,,,,,,,
am_percent_gc,pipeline_generated_data,,text,"% GC:",,,number,,,,,,,,,,
am_num_unalign_read,pipeline_generated_data,,text,"Number unaligned reads:",,,number,,,,,,,,,,
am_percent_unalign_read,pipeline_generated_data,,text,"% unaligned reads:",,,number,,,,,,,,,,
am_ave_read_insert_size,pipeline_generated_data,,text,"Average read insert size:",,,,,,,,,,,,,
am_ave_align_read_cov,pipeline_generated_data,,text,"Average aligned read coverage:",,,,,,,,,,,,,
am_assemb_filename,pipeline_generated_data,,text,"Assembly file name:",,,,,,,,,,,,,
acinetobacter_alleles_desc,pipeline_generated_data,"Multi-locus Sequence Typing",descriptive,"<p class=""yellow""><b><font color = ""black"">Acinetobacter baumannii alleles</font></b></p>",,,,,,,,,,,,,
acinebacter_cpn60,pipeline_generated_data,,text,"cpn60 allele:",,,,,,,,,,,,,
acinebacter_fusa,pipeline_generated_data,,text,"fusA allele:",,,,,,,,,,,,,
acinebacter_glta,pipeline_generated_data,,text,"gltA allele:",,,,,,,,,,,,,
acinebacter_pyrg,pipeline_generated_data,,text,"pyrG allele:",,,,,,,,,,,,,
acinebacter_reca,pipeline_generated_data,,text,"recA allele:",,,,,,,,,,,,,
acinebacter_rplb,pipeline_generated_data,,text,"rplB allele:",,,,,,,,,,,,,
acinebacter_rpob,pipeline_generated_data,,text,"rpoB allele:",,,,,,,,,,,,,
acinetobacter_seq_type,pipeline_generated_data,,text,"Sequence type:",,,integer,,,,,,,,,,
pseudomonas_alleles,pipeline_generated_data,,descriptive,"<p class=""yellow""><b><font color = ""black"">Pseudomonas aeruginosa alleles</font></b></p>",,,,,,,,,,,,,
pseudomonas_acs,pipeline_generated_data,,text,"acs allele:",,,,,,,,,,,,,
pseudomonas_aro,pipeline_generated_data,,text,"aro allele:",,,,,,,,,,,,,
pseudomonas_gua,pipeline_generated_data,,text,"gua allele:",,,,,,,,,,,,,
pseudomonas_mut,pipeline_generated_data,,text,"mut allele:",,,,,,,,,,,,,
pseudomonas_nuo,pipeline_generated_data,,text,"nuo allele:",,,,,,,,,,,,,
pseudomonas_pps,pipeline_generated_data,,text,"pps allele:",,,,,,,,,,,,,
pseudomonas_trp,pipeline_generated_data,,text,"trp allele:",,,,,,,,,,,,,
pseudomonas_seq_type,pipeline_generated_data,,text,"Sequence type:",,,integer,,,,,,,,,,
agm_size,pipeline_generated_data,"Accessory Genome Metrics",text,"Size (bp):",,,number,,,,,,,,,,
agm_segment_num,pipeline_generated_data,,text,"Segment number:",,,number,,,,,,,,,,
agm_ave_segment_size,pipeline_generated_data,,text,"Average segment size:",,,,,,,,,,,,,
agm_percent_gc,pipeline_generated_data,,text,"% GC:",,,number,,,,,,,,,,
agm_genome_seq_filename,pipeline_generated_data,,text,"Accessory genome sequence file name:",,,,,,,,,,,,,
agm_genome_coord_filename,pipeline_generated_data,,text,"Accessory genome coordinates file name:",,,,,,,,,,,,,
agm_clust_output_filename,pipeline_generated_data,,text,"ClustAGE output file name:",,,,,,,,,,,,,
alignmet_ref_seq_id,pipeline_generated_data,"Alignment Metrics",text,"Reference sequence ID:",,,,,,,,,,,,,
alignmet_ref_seq_filename,pipeline_generated_data,,text,"Reference sequence file name:",,,,,,,,,,,,,
alignmet_num_reads_align,pipeline_generated_data,,text,"Number reads aligning:",,,number,,,,,,,,,,
alignmet_percent_reads_align,pipeline_generated_data,,text,"% reads aligning:",,,number,,,,,,,,,,
alignmet_num_snp,pipeline_generated_data,,text,"Number total SNPs:",,,number,,,,,,,,,,
alignmet_num_indel_pf,pipeline_generated_data,,text,"Number indels post-filter:",,,number,,,,,,,,,,
alignmet_align_filename,pipeline_generated_data,,text,"Alignment file names (.bam, .bcf):",,,,,,,,,,,,,
